oaptlocation,destname,daptlocation,oname,dname,tbl,y,quart,origincty,destcty,originname,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,numrecs,x
"Atlanta, GA","Louisville, KY","Louisville, KY","Atlanta, GA (Metro Area)","Louisville, KY",Table 1,0,20133,30397,33044,"Atlanta, GA (Metro Area)",321,352.2826087,158.9103733,DL,70.50293119,171.3645077,WN,27.58407899,126.8438926,69,20
"St. Louis, MO","Milwaukee, WI","Milwaukee, WI","St. Louis, MO","Milwaukee, WI",Table 1,0,20133,31123,33342,"St. Louis, MO",317,203.4782609,158.3724359,WN,86.16452992,153.4084997,WN,86.16452992,153.4084997,70,0
"Las Vegas, NV","Reno, NV","Reno, NV","Las Vegas, NV","Reno, NV",Table 1,0,20133,32211,34570,"Las Vegas, NV",345,968.5869565,156.4893199,WN,96.48748738,158.287946,G4,2.491302884,81.02252252,71,0
"Nashville, TN","Columbus, OH","Columbus, OH","Nashville, TN","Columbus, OH",Table 1,0,20133,30693,31066,"Nashville, TN",337,175.6521739,156.0426795,WN,81.37376238,154.1335589,DL,13.61386139,154.0060455,72,0
"St. Louis, MO","Omaha, NE","Omaha, NE","St. Louis, MO","Omaha, NE",Table 1,0,20133,31123,33316,"St. Louis, MO",342,263.3695652,151.5417788,WN,94.55220801,148.5568224,WN,94.55220801,148.5568224,73,0
"Buffalo, NY","New York City, NY (Metro Area)","Newburgh/Poughkeepsie, NY","Buffalo, NY","New York City, NY (Metro Area)",Table 1,26,20133,30792,31703,"Buffalo, NY",326,1959.673913,148.234698,B6,57.49625603,143.6385105,DL,31.06106828,136.1786232,74,0
"Phoenix, AZ","San Diego, CA","San Diego, CA","Phoenix, AZ","San Diego, CA",Table 1,0,20133,30466,33570,"Phoenix, AZ",304,1420.978261,148.199154,WN,75.82039318,150.8476231,US,22.53499579,140.7943075,75,0
"Chicago, IL","Minneapolis/St. Paul, MN","Minneapolis, MN","Chicago, IL","Minneapolis, MN",Table 1,0,20133,30977,31650,"Chicago, IL",349,3108.26087,146.9969202,DL,37.63813121,148.9567806,WN,19.03413065,147.0939978,76,0
"Dallas, TX","Little Rock, AR","Little Rock, AR","Dallas, TX","Little Rock, AR",Table 1,0,20133,30194,32600,"Dallas/Fort Worth, TX",304,447.2826087,145.2648457,WN,61.23936817,140.204246,WN,61.23936817,140.204246,77,0
"Dallas, TX","Amarillo, TX","Amarillo, TX","Dallas, TX","Amarillo, TX",Table 1,0,20133,30194,30279,"Dallas/Fort Worth, TX",323,455.2173913,139.0043243,WN,69.62750716,138.8914815,WN,69.62750716,138.8914815,78,0
